season,yr,mnth,holiday,weekday,workingday,weathersit,temp,windspeed,cnt,pred_cnt
1,0,1,0,0,0,2,0.363478,0.248539,801,1612.5463531746
1,0,1,0,4,1,1,0.204348,0.0895652,1606,1270.07626915852
1,0,1,0,5,1,1,0.16087,0.126548,1421,1479.3681493894
1,0,1,0,0,0,1,0.231667,0.188433,1204,1306.24996903056
1,0,1,0,4,1,2,0.261667,0.195904,1927,1827.32569152661
1,0,1,0,5,1,1,0.1775,0.353242,1543,1460.85412900007
1,0,1,0,5,1,2,0.203478,0.1233,1167,1511.05445873283
1,0,2,0,2,1,2,0.192174,0.053213,1360,1670.913682195
1,0,2,0,4,1,1,0.144348,0.221935,1538,1630.82228834579
1,0,2,0,6,0,1,0.2225,0.203367,1472,1527.87242322057
1,0,2,1,1,0,2,0.303333,0.307846,1107,1574.64338083567
1,0,2,0,2,1,1,0.182222,0.195683,1450,1662.10397187754
1,0,2,0,4,1,2,0.295652,0.250496,1807,1941.75887242023
1,0,2,0,6,0,1,0.2825,0.186571,1969,1704.99869154253
1,0,3,0,1,1,1,0.261739,0.341352,1872,1757.68793088832
1,0,3,0,3,1,2,0.295833,0.22015,1891,2073.29097156292
1,0,3,0,2,1,2,0.317391,0.184309,2056,2143.51117394387
1,0,3,0,0,0,1,0.3325,0.207721,2471,2090.6483903425
2,0,3,0,4,1,2,0.285,0.243787,1865,2392.47886303158
2,0,3,0,6,0,1,0.265833,0.209571,2496,2356.97227263709
2,0,3,0,0,0,2,0.253043,0.1843,1693,2472.40677969824
2,0,3,0,3,1,2,0.3,0.172888,1536,2569.7282102538
2,0,4,0,3,1,1,0.595,0.241925,3944,4288.79093051855
2,0,4,0,0,0,2,0.581667,0.192175,4191,3932.00195783955
2,0,5,0,0,0,2,0.451667,0.106354,3351,4025.9381025641
2,0,5,0,3,1,2,0.414167,0.328996,2633,3128.06818849206
2,0,5,0,5,1,1,0.479167,0.228246,4608,4582.48287342411
2,0,5,0,0,0,1,0.528333,0.0746375,4333,4767.37846573565
2,0,5,0,5,1,2,0.5125,0.179725,4105,4066.96722260378
2,0,5,0,6,0,1,0.6025,0.12065,5805,4880.00959532787
2,0,5,0,0,0,1,0.604167,0.148008,4660,4695.87081657272
2,0,5,0,1,1,2,0.631667,0.233842,4274,4323.69604304029
2,0,5,0,2,1,2,0.66,0.207092,4492,4328.02483905678
2,0,5,0,2,1,1,0.775,0.111329,3982,4617.73379115159
2,0,6,0,6,0,1,0.635,0.123142,5342,5036.33283204379
2,0,6,0,4,1,2,0.808333,0.149883,3915,4375.6492797619
2,0,6,0,4,1,2,0.628333,0.206471,3767,4397.81099065934
2,0,6,0,1,1,2,0.635,0.155475,4010,4597.33192518315
3,0,6,0,6,0,1,0.695,0.209571,5202,5163.2393610842
3,0,6,0,2,1,1,0.744167,0.144283,4648,4656.90155638386
3,0,7,0,5,1,2,0.709167,0.225129,4040,4447.36308930653
